SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,HOA/MONTH,STATUS,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,LATITUDE,LONGITUDE
PAST SALE,December-9-2016,Single Family Residential,10020 6th Ave SW,Seattle,WA,98146,499000,4,1.75,White Center,2000,8659,1919,77,,Sold,http://www.redfin.com/WA/Seattle/10020-6th-Ave-SW-98146/home/180914,NWMLS,1040916,47.5131983,-122.3421069
PAST SALE,December-31-2016,Single Family Residential,10252 47th Ave SW,Seattle,WA,98146,970000,3,2.75,Lincoln Park,2770,10403,1989,55,,Sold,http://www.redfin.com/WA/Seattle/10252-47th-Ave-SW-98146/home/158229,NWMLS,1025786,47.5107269,-122.3917638
PAST SALE,November-8-2016,Single Family Residential,2823 SW 107th St,Seattle,WA,98146,559900,5,2.75,Shorewood,4490,17800,1949,108,,Sold,http://www.redfin.com/WA/Seattle/2823-SW-107th-St-98146/home/180034,NWMLS,1030951,47.5069329,-122.36948
PAST SALE,December-5-2016,Single Family Residential,10813 26th Ave SW,Seattle,WA,98146,190000,2,1,Westwood,770,8500,1938,81,,Sold,http://www.redfin.com/WA/Seattle/10813-26th-Ave-SW-98146/home/179510,NWMLS,1049183,47.506498,-122.366132
PAST SALE,October-28-2016,Single Family Residential,10631 2nd Ave SW,Seattle,WA,98146,309000,3,1.75,White Center,960,6120,1955,119,,Sold,http://www.redfin.com/WA/Seattle/10631-2nd-Ave-SW-98146/home/182783,NWMLS,1026529,47.5076298,-122.3371919
PAST SALE,November-16-2016,Single Family Residential,11007 5th(Lot 38) Ave SW,Seattle,WA,98146,470398,3,2.25,Seattle,2350,3600,2016,100,60,Sold,http://www.redfin.com/WA/Seattle/11007-38th-Ave-SW-98146/home/104268083,NWMLS,915092,47.5100378,-122.3803741
PAST SALE,December-1-2016,Single Family Residential,459 SW 122nd St,Seattle,WA,98146,400000,4,2,Burien,1960,5714,1942,85,,Sold,http://www.redfin.com/WA/Seattle/459-SW-122nd-St-98146/home/182573,NWMLS,1046039,47.4936999,-122.341783
PAST SALE,September-29-2016,Single Family Residential,10223 26th Ave SW,Seattle,WA,98146,535000,3,2,West Seattle,3220,36590,1934,148,,Sold,http://www.redfin.com/WA/Seattle/10223-26th-Ave-SW-98146/home/180696,NWMLS,958284,47.5115999,-122.3662985
PAST SALE,October-3-2016,Single Family Residential,10020 10th Ave SW,Seattle,WA,98146,341000,4,2,White Center,1650,7620,1946,144,,Sold,http://www.redfin.com/WA/Seattle/10020-10th-Ave-SW-98146/home/181780,NWMLS,1023295,47.513138,-122.347298
PAST SALE,February-9-2017,Single Family Residential,11600 35th Ave SW,Seattle,WA,98146,569500,5,2.5,Arbor Heights,2760,12988,1978,15,,Sold,http://www.redfin.com/WA/Seattle/11600-35th-Ave-SW-98146/home/156450,NWMLS,1032335,47.4989987,-122.3755378
PAST SALE,November-22-2016,Single Family Residential,10033 20th Ave SW,Seattle,WA,98146,280000,2,1,White Center,720,5000,1921,94,,Sold,http://www.redfin.com/WA/Seattle/10033-20th-Ave-SW-98146/home/179958,NWMLS,1041461,47.51271,-122.35991
PAST SALE,September-14-2016,Single Family Residential,3622 SW 112th St,Seattle,WA,98146,604000,3,2.5,Arbor Heights,2110,7300,1998,163,,Sold,http://www.redfin.com/WA/Seattle/3622-SW-112th-St-98146/home/157762,NWMLS,972948,47.503057,-122.379183
PAST SALE,December-30-2016,Single Family Residential,11310 32nd Ave SW,Seattle,WA,98146,525000,3,1,Arbor Heights,1270,9114,1954,56,,Sold,http://www.redfin.com/WA/Seattle/11310-32nd-Ave-SW-98146/home/157768,NWMLS,1050222,47.502348,-122.37417
PAST SALE,September-1-2016,Single Family Residential,10442 35th Ave SW,Seattle,WA,98146,379900,3,1,Arbor Heights,1190,7560,1952,176,,Sold,http://www.redfin.com/WA/Seattle/10442-35th-Ave-SW-98146/home/156097,NWMLS,1004925,47.5087043,-122.3755174
PAST SALE,November-4-2016,Single Family Residential,10721 19th Ave SW,Seattle,WA,98146,399950,4,2.5,Shorewood,3190,8382,1920,112,,Sold,http://www.redfin.com/WA/Seattle/10721-19th-Ave-SW-98146/home/180068,NWMLS,1019400,47.506392,-122.35951
PAST SALE,January-30-2017,Single Family Residential,10218 30th Ave SW,Seattle,WA,98146,484950,5,1.75,West Seattle,2140,7200,1965,25,,Sold,http://www.redfin.com/WA/Seattle/10218-30th-Ave-SW-98146/home/179581,NWMLS,1042398,47.5116324,-122.3706723
PAST SALE,November-17-2016,Single Family Residential,10402 18th Ave SW,Seattle,WA,98146,449950,4,2,West Seattle,2220,8303,1959,99,,Sold,http://www.redfin.com/WA/Seattle/10402-18th-Ave-SW-98146/home/179741,NWMLS,1039885,47.509867,-122.357389
PAST SALE,September-12-2016,Single Family Residential,1116 SW 106th St,Seattle,WA,98146,370000,3,2.25,White Center,1430,7800,1978,165,,Sold,http://www.redfin.com/WA/Seattle/1116-SW-106th-St-98146/home/182627,NWMLS,1002633,47.5085199,-122.3494458
PAST SALE,January-27-2017,Single Family Residential,12231 2ND Place SW,Seattle,WA,98146,350000,3,1.75,North Burien,1120,6000,1941,28,,Sold,http://www.redfin.com/WA/Seattle/12231-2nd-Pl-SW-98146/home/181749,NWMLS,1043453,47.4937468,-122.3362089
PAST SALE,January-13-2017,Single Family Residential,10233 SW 44th Avenue SW Ave SW,Seattle,WA,98146,580000,2,1.5,Arbor Heights,1360,6118,1948,42,,Sold,http://www.redfin.com/WA/Seattle/10233-44th-Ave-SW-98146/home/156664,NWMLS,1039644,47.511095,-122.388957
PAST SALE,October-14-2016,Single Family Residential,10239 11th Ave SW,Seattle,WA,98146,275000,3,1.75,White Center,1750,7980,1936,133,,Sold,http://www.redfin.com/WA/Seattle/10239-11th-Ave-SW-98146/home/181954,NWMLS,1031957,47.5107556,-122.3492445
PAST SALE,October-28-2016,Single Family Residential,10107 33rd Ave SW,Seattle,WA,98146,339950,2,1,Arbor Heights,740,6300,1942,119,,Sold,http://www.redfin.com/WA/Seattle/10107-33rd-Ave-SW-98146/home/155318,NWMLS,1021020,47.512636,-122.374369
PAST SALE,November-30-2016,Single Family Residential,1228 SW 107th street,Seattle,WA,98146,429000,4,3,White Center,2280,8060,1960,86,,Sold,http://www.redfin.com/WA/Seattle/1228-SW-107th-St-98146/home/182110,NWMLS,1030289,47.5074169,-122.351318
